index,frame,group,user_add_mean,user_add_sd,user_del_mean,user_del_sd,user_speak_mean,user_speak_sd,user_turns_mean,user_turns_sd,user_speech,write_text,user_wh_mean,user_self_mean,user_us_mean,user_yes_mean,user_thanks_mean,user_wh_sd,user_self_sd,user_us_sd,user_yes_sd,user_thanks_sd,session,language,learning_design,time,students,class,teacher,subject
0,1,87_1,0,0.0,0,0.0,3.960666666666667,1.0957013989018887,2,0.4714045207910317,"t"",  brainstorm Arguments for and against this argument put them all down pillow Arguments for and against this argument down pillow",,0,1,0,0,0,0.0,1.4142135623730951,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
1,2,87_1,63,89.56685895029602,4,5.656854249492381,2.578333333333333,1.2088811172135807,1,0.4714045207910317,s the sender keep putting good at each other and mediator I think I West Des Moines the swap,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/><br/>heyo<br/>",0,0,0,0,0,0.4714045207910317,0.9428090415820634,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
2,3,87_1,12,17.441967269268172,0,0.4714045207910317,5.400333333333332,3.2693926381244296,2,1.247219128924647,"s just a think"",  Fairy Tail I mean","*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel <br/>2) brainstorm arguments for and against this argument, put them all down below. <br/><br/>heyo<br/>",0,1,0,0,0,0.4714045207910317,0.4714045207910317,0.4714045207910317,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
3,4,87_1,5,7.0710678118654755,1,1.4142135623730951,2.56,2.2228510221485083,1,0.9428090415820634,who is Tempestt Terrell s what,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/><br/>heyo<br/>",0,0,0,0,0,0.4714045207910317,0.0,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
4,5,87_1,12,10.338708279513883,1,1.699673171197595,3.1683333333333334,2.2922900243109634,1,0.4714045207910317,that what Alyssa said that keeper keeper of standards 390 yes,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    <br/>    <br/>Bad sides:<br/>heyo<br/>",0,0,0,0,0,0.4714045207910317,0.0,0.0,0.4714045207910317,0.0,87,eng,role-based,morning,6,C1,T15,english
5,6,87_1,23,32.526911934581186,0,0.0,4.741333333333333,1.2889999569002664,2,0.4714045207910317,online shopping is more convenient it has better prices since there is no middle and more variety David online online shopping covid-19,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convient, better prices, easier, more control, easier price comp<br/>    <br/>Bad sides:<br/>heyo<br/>",0,0,0,0,0,0.4714045207910317,0.0,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
6,7,87_1,8,12.256517540566824,0,0.4714045207910317,3.9653333333333336,3.169162069415546,1,0.9428090415820634,and privacy for the discreet that pushes like maybe front to buy Looper Adela for some reason just keep that what is like maybe he wants to buy an Uber again. For some reason,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convient, better prices, ,easier, more control, easier price comparisions, more private, <br/>    <br/>Bad sides:<br/>heyo<br/>",0,0,0,0,0,0.4714045207910317,0.4714045207910317,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
7,8,87_1,16,5.436502143433364,0,0.9428090415820634,4.828,2.5681896347427307,1,0.4714045207910317,a convenience by the prices easier to send gifts more control like no grout no sales pressure I probably wrote broken English set a timer,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convient, better prices, more different products, easier, more control, easier price comparisions, more private, (convenience)<br/>    <br/>Bad sides: More packa<br/>heyo<br/>",0,1,0,0,0,0.0,1.247219128924647,0.0,0.9428090415820634,0.0,87,eng,role-based,morning,6,C1,T15,english
8,9,87_1,14,18.660713336371206,2,3.091206165165235,3.2390000000000003,2.9625712930943395,1,0.816496580927726,check if you made any grammatical errors mistakes even compare yourself to collect interest in steak Steven Kelly,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, more different products, easier, more control, easier price comparisions, more private, (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, ris<br/>heyo<br/>",0,0,0,0,0,0.0,0.4714045207910317,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
9,10,87_1,21,18.01850900231944,7,4.496912521077347,5.597,0.4446489251833034,2,0.0,risk of fraud text Ruth Maybe text baby,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, easier, more control, easier price comparisions, more private, (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, risk of fraud, returns can be complicated, <br/>",0,2,0,0,0,0.4714045207910317,0.0,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
